case,scanner_name,universe,start_date,end_date,param_set_id,n_signals,min_gap_pct,min_gap_vol_ratio,max_days_since_gap,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d,raw_n_signals,feature_filters
baseline_unfiltered_4_3_5,detect_episodic_pivot,NIFTY500,2025-07-01,2025-12-31,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",211,4.0,3.0,5,-0.4,-0.11,46.0,-0.31,-0.06,48.8,-0.66,-0.35,45.5,-0.38,-0.17,48.3,-0.58,-0.29,47.4,-0.15,-0.01,49.8,0.38,1.32,57.8,0.88,2.08,62.6,-0.41,0.88,54.5,0.09,1.04,56.4,2.97,-3.23,3.66,-3.84,5.47,-4.71,5.7,4.3,57.8,29.4,26.1,40,50.0,-1.14,69,37.7,0.45,102,52.9,-0.17,,
filtered_gap_pct_ge_9_1,detect_episodic_pivot,NIFTY500,2025-07-01,2025-12-31,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",26,4.0,3.0,5,0.36,0.35,57.7,0.33,0.07,50.0,0.71,-0.62,42.3,0.41,0.02,50.0,1.13,0.46,53.8,0.44,-0.15,46.2,2.83,3.4,65.4,2.22,2.46,65.4,4.19,2.3,53.8,3.25,1.4,57.7,4.73,-2.74,5.35,-3.23,7.98,-4.29,3.8,3.8,76.9,42.3,46.2,4,50.0,-0.34,5,40.0,-0.13,17,58.8,0.79,211.0,gap_pct>=9.1
