window,case,scanner_name,universe,start_date,end_date,param_set_id,n_signals,min_gap_pct,min_gap_vol_ratio,max_days_since_gap,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d,raw_n_signals,feature_filters
2025h1,baseline_unfiltered_4_3_2,detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",132,4.0,3.0,2,0.59,0.21,54.5,0.34,-0.18,45.5,0.88,0.79,59.1,0.32,0.38,50.8,1.0,1.15,59.1,0.18,0.32,52.3,3.48,2.13,59.1,1.57,1.01,52.3,6.05,3.94,64.4,2.27,0.12,50.0,5.02,-3.5,6.37,-4.45,10.09,-5.94,4.5,4.5,73.5,50.0,50.0,59,71.2,1.49,41,58.5,-0.29,32,37.5,-1.63,,
2025h1,filtered_gap_vol_ratio_le_4_9,detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",52,4.0,3.0,2,1.0,0.58,65.4,0.51,-0.06,48.1,1.69,1.41,67.3,0.99,0.59,55.8,2.44,2.34,69.2,1.74,1.04,63.5,7.35,6.05,63.5,5.54,3.63,65.4,11.08,7.14,71.2,7.26,4.56,59.6,5.23,-2.78,7.12,-3.92,13.39,-5.36,1.9,1.9,73.1,57.7,59.6,23,87.0,3.54,14,50.0,-0.26,15,60.0,0.86,132.0,gap_vol_ratio<=4.9
2025h2,baseline_unfiltered_4_3_2,detect_episodic_pivot,NIFTY500,2025-07-01,2025-12-31,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",109,4.0,3.0,2,-0.68,-0.2,46.8,-0.7,-0.28,47.7,-0.77,-0.04,49.5,-0.81,-0.34,47.7,-1.06,-0.34,49.5,-0.68,0.27,54.1,-0.26,1.35,59.6,0.18,1.82,63.3,-0.56,1.58,56.9,-0.18,1.11,59.6,3.15,-3.71,3.77,-4.39,5.23,-5.26,4.6,4.6,62.4,32.1,24.8,24,45.8,-2.99,31,35.5,-0.42,54,59.3,0.21,,
2025h2,filtered_gap_vol_ratio_le_4_9,detect_episodic_pivot,NIFTY500,2025-07-01,2025-12-31,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10,4.0,3.0,2,0.54,0.26,50.0,0.47,0.41,60.0,0.41,1.5,70.0,0.39,1.54,70.0,0.34,0.84,70.0,1.08,2.12,70.0,3.61,4.61,90.0,3.31,4.58,90.0,4.81,6.22,90.0,3.13,4.79,90.0,6.22,-2.72,6.86,-3.11,8.91,-3.6,0.0,0.0,90.0,50.0,60.0,2,100.0,3.73,2,100.0,3.3,6,50.0,-0.54,109.0,gap_vol_ratio<=4.9
2025full,baseline_unfiltered_4_3_2,detect_episodic_pivot,NIFTY500,2025-01-01,2025-12-31,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",254,4.0,3.0,2,-0.05,0.01,50.0,-0.18,-0.27,45.7,0.04,0.24,53.9,-0.23,-0.17,48.4,-0.07,0.53,53.5,-0.27,0.25,52.4,1.55,1.34,57.1,0.87,1.13,56.7,2.84,2.59,59.8,1.16,0.88,53.9,4.11,-3.65,5.09,-4.45,7.65,-5.66,4.3,4.3,68.1,40.6,37.0,84,63.1,0.17,77,49.4,-0.24,93,48.4,-0.7,,
2025full,filtered_gap_vol_ratio_le_4_9,detect_episodic_pivot,NIFTY500,2025-01-01,2025-12-31,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",62,4.0,3.0,2,0.93,0.58,62.9,0.5,0.03,50.0,1.48,1.41,67.7,0.89,0.7,58.1,2.1,1.89,69.4,1.64,1.37,64.5,6.74,5.33,67.7,5.18,4.09,69.4,10.07,6.82,74.2,6.6,4.83,64.5,5.39,-2.77,7.08,-3.79,12.66,-5.08,1.6,1.6,75.8,56.5,59.7,25,88.0,3.55,16,56.2,0.19,21,57.1,0.46,254.0,gap_vol_ratio<=4.9
