case,scanner_name,universe,start_date,end_date,param_set_id,n_signals,min_gap_pct,min_gap_vol_ratio,max_days_since_gap,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d,raw_n_signals,feature_filters
baseline_unfiltered_4_3_2,detect_episodic_pivot,NIFTY500,2025-07-01,2025-12-31,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",109,4.0,3.0,2,-0.68,-0.2,46.8,-0.7,-0.28,47.7,-0.77,-0.04,49.5,-0.81,-0.34,47.7,-1.06,-0.34,49.5,-0.68,0.27,54.1,-0.26,1.35,59.6,0.18,1.82,63.3,-0.56,1.58,56.9,-0.18,1.11,59.6,3.15,-3.71,3.77,-4.39,5.23,-5.26,4.6,4.6,62.4,32.1,24.8,24,45.8,-2.99,31,35.5,-0.42,54,59.3,0.21,,
filtered_gap_vol_ratio_le_4_9,detect_episodic_pivot,NIFTY500,2025-07-01,2025-12-31,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10,4.0,3.0,2,0.54,0.26,50.0,0.47,0.41,60.0,0.41,1.5,70.0,0.39,1.54,70.0,0.34,0.84,70.0,1.08,2.12,70.0,3.61,4.61,90.0,3.31,4.58,90.0,4.81,6.22,90.0,3.13,4.79,90.0,6.22,-2.72,6.86,-3.11,8.91,-3.6,0.0,0.0,90.0,50.0,60.0,2,100.0,3.73,2,100.0,3.3,6,50.0,-0.54,109.0,gap_vol_ratio<=4.9
