case,scanner_name,universe,start_date,end_date,param_set_id,n_signals,min_gap_pct,min_gap_vol_ratio,max_days_since_gap,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d,raw_n_signals,feature_filters
baseline_unfiltered,detect_episodic_pivot,NIFTY500,2025-07-01,2025-12-31,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":6.0,""min_gap_vol_ratio"":3.0}",54,6.0,3.0,3,-1.16,0.18,55.6,-1.12,0.17,53.7,-0.62,-0.28,46.3,-0.7,0.03,51.9,-0.18,0.78,57.4,-0.27,0.24,53.7,-0.12,1.51,64.8,0.14,2.32,68.5,-0.15,2.46,59.3,0.67,2.17,61.1,2.94,-4.09,3.77,-4.49,5.03,-5.08,5.6,5.6,70.4,42.6,33.3,7,42.9,-10.89,15,46.7,1.07,32,65.6,1.42,,
filtered_prior_65d_weakness_ge_37,detect_episodic_pivot,NIFTY500,2025-07-01,2025-12-31,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":6.0,""min_gap_vol_ratio"":3.0}",1,6.0,3.0,3,-9.52,-9.52,0.0,-9.67,-9.67,0.0,-12.2,-12.2,0.0,-12.72,-12.72,0.0,-5.5,-5.5,0.0,-6.7,-6.7,0.0,-19.44,-19.44,0.0,-17.92,-17.92,0.0,-26.87,-26.87,0.0,-22.72,-22.72,0.0,0.84,-12.55,0.84,-12.55,0.84,-20.28,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,-6.7,54.0,prior_65d_weakness_pct>=37
